"№","column1","Игрок","Команда","Амплуа","Очки [{""name"":""data""},{""name"":""pen""},{""name"":""mins""},{""name"":""goal"",""reverse"":true},{""name"":""days"",""reverse"":true},{""name"":""average""},{""name"":""game""}]","Игры [{""name"":""game"",""empty"":""first""}]"
"31","","Бартош Курек","Польша","диагональный","57","4"
"32","","Пабло Кукарцев","Аргентина","диагональный","57","4"
"33","","Лусиано Палонски","Аргентина","доигровщик","55","4"
"34","","Том Копс","Нидерланды","доигровщик","55","4"
"35","","Усама Бен Ромдан","Тунис","доигровщик","55","4"
"36","","Якуб Кохановски","Польша","центральный блокирующий","53","7"
"37","","Нуну Маркеш","Португалия","доигровщик","52","4"
"38","","Павле Перич","Сербия","доигровщик","52","4"
"39","","Антонин Климеш","Чехия","центральный блокирующий","52","7"
"40","","Алекс Грозданов","Болгария","центральный блокирующий","51","7"
"41","","Николас Хоаг","Канада","доигровщик","48","4"
"42","","Ихбайри Амхиммид","Ливия","диагональный","47","3"
"43","","Жан Патри","Франция","диагональный","46","3"
"44","","Али Бонгуи","Тунис","диагональный","46","4"
"45","","Жига Штерн","Словения","доигровщик","46","4"
"46","","Роберто Руссо","Италия","центральный блокирующий","46","7"
"47","","Лео Ордьялес","Филиппины","диагональный","44","3"
"48","","Эрик Рёрс","Германия","доигровщик","44","3"
"49","","Симеон Николов","Болгария","связующий","44","7"
"50","","Бедирхан Бюльбюль","Турция","центральный блокирующий","43","5"
"51","","Меррик МакГенри","США","центральный блокирующий","41","5"
"52","","Моххамад Вализадех","Иран","центральный блокирующий","41","5"
"53","","Георг Грозер","Германия","диагональный","40","3"
"54","","Агустин Лосер","Аргентина","центральный блокирующий","40","4"
"55","","Жозе Педро Пинто","Португалия","диагональный","40","4"
"56","","Лоуренсу Мартинш","Португалия","доигровщик","40","4"
"57","","Илия Петков","Болгария","центральный блокирующий","40","7"
"58","","Норберт Хубер","Польша","центральный блокирующий","40","7"
"59","","Сейфельдин Али","Египет","диагональный","39","3"
"60","","Мирза Лагумджия","Турция","доигровщик","39","4"
"61","","Петтери Тюйнисмаа","Финляндия","центральный блокирующий","39","4"
"62","","Ян Козамерник","Словения","центральный блокирующий","39","4"
"63","","Кэнто Мияура","Япония","диагональный","38","3"
"64","","Юссеф Углаф","Катар","диагональный","38","3"
"65","","Ван Бинь","Китай","доигровщик","37","3"
"66","","Марк Эспехо","Филиппины","доигровщик","37","3"
"67","","Бенни Тёйнстра-мл.","Нидерланды","доигровщик","37","4"
"68","","Марлон Эррера","Куба","доигровщик","36","3"
"69","","Хосе Массо","Куба","диагональный","36","3"
"70","","Александар Неделькович","Сербия","центральный блокирующий","36","4"
"71","","Алан Соуза","Бразилия","диагональный","35","3"
"72","","Файнниан Маккарти","Канада","центральный блокирующий","35","4"
"73","","Элиес Карамусли","Тунис","доигровщик","35","4"
"74","","Ахмед Шафик","Египет","доигровщик","34","3"
"75","","Василий Тупчий","Украина","диагональный","34","3"
"76","","Миран Куинджич","Сербия","доигровщик","34","4"
"77","","Артур Бенто Бучмеюк","Бразилия","доигровщик","33","3"
"78","","Висенте Паррагирре","Чили","диагональный","33","3"
"79","","Жудсон Амабел Нунес да Кунья Джуниор","Бразилия","центральный блокирующий","33","3"
"80","","Мохамед Ихбайри","Ливия","доигровщик","33","3"
"81","","Рарес Йонут Балян","Румыния","доигровщик","33","3"
"82","","Джеффри Джендрик II","США","центральный блокирующий","33","5"
"83","","Каземи Юсеф","Иран","центральный блокирующий","33","5"
"84","","Антон Бреме","Германия","центральный блокирующий","32","3"
"85","","Дмитрий Янчук","Украина","доигровщик","32","3"
"86","","Филип Цветичанин","Португалия","центральный блокирующий","32","4"
"87","","Мигель Мартинес","Колумбия","диагональный","31","3"
"88","","Фабиан Плак","Нидерланды","центральный блокирующий","31","4"
"89","","Али Хагпараст","Иран","доигровщик","31","5"
"90","","Кевин Сасак","Польша","диагональный","31","5"
"91","","Абдельрахман Эйсса","Египет","доигровщик","30","3"
"92","","Сеппе Ротти","Бельгия","доигровщик","30","4"
"93","","Бартелеми Шиненьезе","Франция","центральный блокирующий","29","3"
"94","","Келтон Тавареш","Португалия","центральный блокирующий","29","4"
"95","","Адам Зайичек","Чехия","центральный блокирующий","29","7"
"96","","Илья Ковалёв","Украина","доигровщик","28","3"
"97","","Никола Васич","Катар","доигровщик","28","3"
"98","","Ной Аравена","Чили","диагональный","28","3"
"99","","Хуан Бенавидес","Колумбия","доигровщик","28","3"
